sample	half	quarter
SAMD00179037	half_2	quarter_3
SAMEA10030499	half_1	quarter_2
SAMEA10030512	half_2	quarter_3
SAMEA10030514	half_2	quarter_4
SAMEA104362228	half_2	quarter_3
SAMEA110037904	half_1	quarter_2
SAMEA110699253	half_1	quarter_2
SAMEA110699257	half_1	quarter_2
SAMEA110699261	half_1	quarter_2
SAMEA110699268	half_1	quarter_1
SAMEA110699283	half_1	quarter_1
SAMEA111556136	half_1	quarter_1
SAMEA1118566	half_2	quarter_4
SAMEA1119639	half_2	quarter_4
SAMEA112181350	half_1	quarter_2
SAMEA112181533	half_2	quarter_4
SAMEA112188679	half_2	quarter_4
SAMEA112188680	half_1	quarter_2
SAMEA112188682	half_1	quarter_2
SAMEA112188702	half_1	quarter_1
SAMEA112188704	half_1	quarter_2
SAMEA112188713	half_1	quarter_2
SAMEA112188720	half_2	quarter_4
SAMEA112188729	half_2	quarter_4
SAMEA112188734	half_1	quarter_2
SAMEA112188740	half_1	quarter_1
SAMEA112188742	half_1	quarter_1
SAMEA112188754	half_2	quarter_3
SAMEA112188791	half_2	quarter_4
SAMEA112188805	half_2	quarter_3
SAMEA112188895	half_1	quarter_2
SAMEA112188905	half_1	quarter_2
SAMEA112188942	half_1	quarter_2
SAMEA112188952	half_2	quarter_4
SAMEA112188957	half_1	quarter_1
SAMEA112188962	half_2	quarter_4
SAMEA112188967	half_2	quarter_4
SAMEA112188968	half_1	quarter_1
SAMEA112188969	half_1	quarter_1
SAMEA112188974	half_2	quarter_3
SAMEA112188977	half_2	quarter_4
SAMEA112188978	half_2	quarter_3
SAMEA112188980	half_1	quarter_2
SAMEA112188982	half_1	quarter_2
SAMEA112189033	half_2	quarter_4
SAMEA112189059	half_2	quarter_3
SAMEA112189060	half_1	quarter_1
SAMEA112189076	half_2	quarter_4
SAMEA112189098	half_1	quarter_1
SAMEA112189099	half_2	quarter_4
SAMEA112189101	half_2	quarter_3
SAMEA112189102	half_2	quarter_4
SAMEA112189104	half_2	quarter_4
SAMEA112189105	half_1	quarter_1
SAMEA112189106	half_1	quarter_2
SAMEA112189107	half_1	quarter_2
SAMEA112189108	half_2	quarter_3
SAMEA112189110	half_2	quarter_4
SAMEA112189111	half_1	quarter_2
SAMEA112189115	half_1	quarter_2
SAMEA112189130	half_1	quarter_2
SAMEA112189131	half_1	quarter_2
SAMEA112189133	half_1	quarter_1
SAMEA112189135	half_2	quarter_4
SAMEA112189144	half_2	quarter_3
SAMEA112189161	half_1	quarter_1
SAMEA112189163	half_1	quarter_1
SAMEA112189166	half_2	quarter_3
SAMEA112804950	half_2	quarter_3
SAMEA112805260	half_1	quarter_2
SAMEA115745008	half_1	quarter_1
SAMEA115879532	half_2	quarter_4
SAMEA115879536	half_1	quarter_1
SAMEA11761226	half_2	quarter_3
SAMEA11761261	half_1	quarter_1
SAMEA11761271	half_2	quarter_3
SAMEA11761285	half_2	quarter_3
SAMEA11761533	half_1	quarter_1
SAMEA13299754	half_1	quarter_2
SAMEA14493242	half_2	quarter_4
SAMEA14493409	half_1	quarter_1
SAMEA1706702	half_2	quarter_4
SAMEA1877078	half_2	quarter_3
SAMEA1877193	half_2	quarter_4
SAMEA1877219	half_1	quarter_2
SAMEA1877274	half_1	quarter_1
SAMEA1877284	half_1	quarter_2
SAMEA1968680	half_2	quarter_4
SAMEA1969703	half_1	quarter_1
SAMEA2142803	half_1	quarter_1
SAMEA2145510	half_1	quarter_1
SAMEA2146833	half_1	quarter_1
SAMEA2150396	half_2	quarter_3
SAMEA2151129	half_1	quarter_2
SAMEA2151617	half_1	quarter_1
SAMEA2152013	half_2	quarter_3
SAMEA2156559	half_1	quarter_1
SAMEA2158449	half_2	quarter_3
SAMEA2158843	half_2	quarter_4
SAMEA2159252	half_1	quarter_1
SAMEA2162283	half_1	quarter_2
SAMEA2297007	half_2	quarter_4
SAMEA3392614	half_2	quarter_3
SAMEA3392671	half_1	quarter_2
SAMEA3402469	half_1	quarter_2
SAMEA3403355	half_1	quarter_1
SAMEA3403843	half_1	quarter_1
SAMEA3414200	half_2	quarter_4
SAMEA3414459	half_2	quarter_4
SAMEA3421123	half_2	quarter_3
SAMEA3421166	half_2	quarter_4
SAMEA3430669	half_2	quarter_4
SAMEA3430691	half_2	quarter_4
SAMEA3432962	half_1	quarter_2
SAMEA3437035	half_2	quarter_4
SAMEA3442604	half_1	quarter_2
SAMEA3443157	half_2	quarter_4
SAMEA3443174	half_2	quarter_4
SAMEA3443360	half_1	quarter_2
SAMEA3444040	half_2	quarter_4
SAMEA3696304	half_1	quarter_1
SAMEA3696305	half_1	quarter_2
SAMEA4772837	half_1	quarter_2
SAMEA5974835	half_1	quarter_2
SAMEA6617279	half_1	quarter_2
SAMEA6617301	half_2	quarter_4
SAMEA6617408	half_2	quarter_3
SAMEA6655887	half_1	quarter_2
SAMEA6655888	half_2	quarter_3
SAMEA6655890	half_2	quarter_3
SAMEA6655897	half_2	quarter_3
SAMEA6655899	half_1	quarter_1
SAMEA6655900	half_1	quarter_2
SAMEA6655902	half_1	quarter_1
SAMEA7541542	half_1	quarter_2
SAMEA7560231	half_2	quarter_4
SAMEA7665562	half_2	quarter_4
SAMEA7665566	half_2	quarter_4
SAMEA7665567	half_2	quarter_4
SAMEA838000	half_1	quarter_1
SAMEA838028	half_2	quarter_4
SAMEA838042	half_2	quarter_3
SAMEA838044	half_2	quarter_4
SAMEA8718537	half_2	quarter_3
SAMEA8718973	half_1	quarter_2
SAMEA8718988	half_1	quarter_2
SAMEA8718999	half_1	quarter_1
SAMEA8719008	half_1	quarter_1
SAMEA8719024	half_2	quarter_4
SAMEA8719193	half_2	quarter_3
SAMEA8719243	half_2	quarter_4
SAMEA8741898	half_1	quarter_1
SAMEA8742018	half_2	quarter_3
SAMEA8742035	half_2	quarter_3
SAMEA8742054	half_1	quarter_2
SAMEA8742055	half_2	quarter_3
SAMEA8742056	half_1	quarter_2
SAMEA8742057	half_1	quarter_1
SAMEA8742063	half_1	quarter_1
SAMEA8742120	half_1	quarter_1
SAMEA8742123	half_2	quarter_3
