sample	half	quarter
SAMD00083624	half_2	quarter_3
SAMD00489567	half_1	quarter_1
SAMEA10030870	half_2	quarter_3
SAMEA104137113	half_2	quarter_4
SAMEA104137288	half_1	quarter_2
SAMEA104152213	half_1	quarter_2
SAMEA104152388	half_1	quarter_2
SAMEA104565033	half_1	quarter_2
SAMEA104565035	half_1	quarter_2
SAMEA104565038	half_1	quarter_2
SAMEA104565045	half_1	quarter_1
SAMEA104565050	half_1	quarter_1
SAMEA104565054	half_2	quarter_4
SAMEA104565059	half_2	quarter_4
SAMEA104565065	half_1	quarter_2
SAMEA104565077	half_2	quarter_4
SAMEA104565095	half_2	quarter_4
SAMEA104569206	half_1	quarter_2
SAMEA104569208	half_1	quarter_1
SAMEA104569210	half_1	quarter_1
SAMEA104569220	half_1	quarter_2
SAMEA104569226	half_1	quarter_2
SAMEA104569233	half_2	quarter_4
SAMEA104569239	half_2	quarter_4
SAMEA104569246	half_1	quarter_2
SAMEA104569250	half_1	quarter_1
SAMEA111504194	half_1	quarter_1
SAMEA111504281	half_2	quarter_3
SAMEA111505006	half_2	quarter_4
SAMEA112742823	half_2	quarter_3
SAMEA112742869	half_1	quarter_2
SAMEA112743036	half_1	quarter_2
SAMEA112743072	half_1	quarter_2
SAMEA112743342	half_1	quarter_1
SAMEA113465569	half_1	quarter_1
SAMEA113465675	half_2	quarter_4
SAMEA113583579	half_2	quarter_4
SAMEA113583633	half_1	quarter_1
SAMEA113583723	half_1	quarter_1
SAMEA113583825	half_2	quarter_3
SAMEA113612492	half_2	quarter_4
SAMEA113612898	half_2	quarter_3
SAMEA1317240	half_1	quarter_2
SAMEA1486982	half_1	quarter_1
SAMEA1929547	half_2	quarter_4
SAMEA1929548	half_2	quarter_3
SAMEA1929549	half_1	quarter_1
SAMEA2340148	half_2	quarter_4
SAMEA2340205	half_1	quarter_1
SAMEA2340221	half_2	quarter_4
SAMEA2445563	half_2	quarter_3
SAMEA3216048	half_2	quarter_4
SAMEA3216049	half_2	quarter_4
SAMEA3216050	half_1	quarter_1
SAMEA3216051	half_2	quarter_3
SAMEA3216052	half_1	quarter_2
SAMEA3216053	half_2	quarter_3
SAMEA3216054	half_2	quarter_4
SAMEA3216055	half_1	quarter_1
SAMEA3216056	half_1	quarter_2
SAMEA3216057	half_1	quarter_2
SAMEA3216078	half_1	quarter_2
SAMEA3216082	half_1	quarter_2
SAMEA3216085	half_2	quarter_4
SAMEA3216086	half_2	quarter_3
SAMEA3216087	half_1	quarter_2
SAMEA3283294	half_1	quarter_1
SAMEA3283440	half_2	quarter_3
SAMEA3283458	half_2	quarter_3
SAMEA3283626	half_1	quarter_2
SAMEA3448939	half_1	quarter_2
SAMEA3929573	half_2	quarter_4
SAMEA4362384	half_1	quarter_1
SAMEA4387486	half_1	quarter_2
SAMEA4614192	half_1	quarter_1
SAMEA4614193	half_2	quarter_3
SAMEA4614194	half_2	quarter_3
SAMEA4614195	half_1	quarter_1
SAMEA4614196	half_1	quarter_2
SAMEA4614198	half_2	quarter_4
SAMEA4614237	half_2	quarter_4
SAMEA4614238	half_2	quarter_4
SAMEA4614239	half_1	quarter_2
SAMEA4614240	half_2	quarter_4
SAMEA4614241	half_1	quarter_2
SAMEA4614427	half_1	quarter_2
SAMEA4614428	half_1	quarter_2
SAMEA4614429	half_2	quarter_4
SAMEA4614430	half_1	quarter_1
SAMEA4614431	half_1	quarter_1
SAMEA4614432	half_1	quarter_2
SAMEA4614433	half_1	quarter_1
SAMEA4614434	half_2	quarter_3
SAMEA4614435	half_1	quarter_1
SAMEA4614436	half_1	quarter_2
SAMEA4614481	half_2	quarter_3
SAMEA4614482	half_1	quarter_2
SAMEA4614483	half_2	quarter_3
SAMEA4614484	half_2	quarter_4
SAMEA4614485	half_1	quarter_2
SAMEA4721618	half_1	quarter_1
SAMEA4721619	half_2	quarter_4
SAMEA4721621	half_2	quarter_4
SAMEA4721622	half_1	quarter_1
SAMEA4721623	half_1	quarter_1
SAMEA4721624	half_1	quarter_1
SAMEA4721625	half_1	quarter_1
SAMEA4721626	half_2	quarter_4
SAMEA4721627	half_2	quarter_3
SAMEA4721628	half_2	quarter_3
SAMEA4721629	half_2	quarter_4
SAMEA4721630	half_2	quarter_4
SAMEA4721631	half_2	quarter_4
SAMEA4721632	half_1	quarter_1
SAMEA4721633	half_2	quarter_4
SAMEA4721634	half_1	quarter_2
SAMEA4721635	half_2	quarter_4
SAMEA4721636	half_2	quarter_4
SAMEA4721637	half_1	quarter_1
SAMEA4721638	half_2	quarter_4
SAMEA4721639	half_1	quarter_2
SAMEA4721640	half_1	quarter_2
SAMEA4721641	half_1	quarter_1
SAMEA4721642	half_1	quarter_1
SAMEA4721643	half_1	quarter_2
SAMEA4721644	half_2	quarter_4
SAMEA4721645	half_2	quarter_3
SAMEA4721646	half_2	quarter_3
SAMEA4721647	half_2	quarter_3
SAMEA4721648	half_2	quarter_3
SAMEA4721649	half_2	quarter_3
SAMEA4721650	half_1	quarter_1
SAMEA4721651	half_1	quarter_2
SAMEA4721652	half_1	quarter_1
SAMEA4721653	half_1	quarter_2
SAMEA4721654	half_2	quarter_4
SAMEA4721655	half_2	quarter_4
SAMEA4721656	half_2	quarter_3
SAMEA4721657	half_2	quarter_4
SAMEA4721658	half_1	quarter_1
SAMEA4721659	half_2	quarter_4
SAMEA4721660	half_2	quarter_3
SAMEA4721661	half_2	quarter_4
SAMEA4721662	half_2	quarter_3
SAMEA4721663	half_1	quarter_1
SAMEA4721664	half_2	quarter_3
SAMEA4721665	half_1	quarter_1
SAMEA4721666	half_1	quarter_1
SAMEA4721667	half_2	quarter_4
SAMEA4721669	half_2	quarter_3
SAMEA4721670	half_2	quarter_4
SAMEA4721671	half_1	quarter_1
SAMEA4721672	half_2	quarter_3
SAMEA4721673	half_1	quarter_2
SAMEA4721674	half_1	quarter_1
SAMEA4721675	half_2	quarter_3
