sample	half	quarter
SAMEA104154436	half_2	quarter_3
SAMEA10427056	half_1	quarter_2
SAMEA10427157	half_2	quarter_3
SAMEA111457368	half_2	quarter_4
SAMEA112486331	half_2	quarter_3
SAMEA112486409	half_1	quarter_2
SAMEA112486596	half_1	quarter_2
SAMEA112486598	half_1	quarter_2
SAMEA112486677	half_1	quarter_2
SAMEA112486789	half_1	quarter_1
SAMEA112647480	half_1	quarter_1
SAMEA112647492	half_1	quarter_1
SAMEA114036628	half_2	quarter_4
SAMEA114088636	half_2	quarter_4
SAMEA114088638	half_1	quarter_2
SAMEA114211915	half_2	quarter_4
SAMEA114211961	half_2	quarter_4
SAMEA114211964	half_1	quarter_2
SAMEA114211969	half_1	quarter_2
SAMEA114212010	half_1	quarter_1
SAMEA114212142	half_1	quarter_2
SAMEA114313380	half_1	quarter_2
SAMEA114313381	half_2	quarter_4
SAMEA114313463	half_2	quarter_4
SAMEA114313486	half_1	quarter_2
SAMEA114441751	half_1	quarter_1
SAMEA114441778	half_1	quarter_1
SAMEA114479245	half_2	quarter_3
SAMEA114479347	half_2	quarter_4
SAMEA114479378	half_2	quarter_3
SAMEA114490260	half_1	quarter_2
SAMEA114490286	half_1	quarter_2
SAMEA114520436	half_1	quarter_2
SAMEA114520716	half_2	quarter_4
SAMEA114521089	half_1	quarter_1
SAMEA114552231	half_2	quarter_4
SAMEA114552313	half_2	quarter_4
SAMEA114552436	half_1	quarter_1
SAMEA114552482	half_1	quarter_1
SAMEA115092374	half_2	quarter_3
SAMEA115376923	half_2	quarter_4
SAMEA115606223	half_2	quarter_3
SAMEA115606224	half_1	quarter_2
SAMEA115606407	half_1	quarter_2
SAMEA115606453	half_2	quarter_4
SAMEA115606456	half_2	quarter_3
SAMEA115606461	half_1	quarter_1
SAMEA115606476	half_2	quarter_4
SAMEA115606963	half_1	quarter_1
SAMEA12566473	half_2	quarter_4
SAMEA1462978	half_2	quarter_3
SAMEA1463249	half_2	quarter_4
SAMEA1463260	half_2	quarter_4
SAMEA1463269	half_1	quarter_1
SAMEA1463291	half_1	quarter_2
SAMEA2204008	half_1	quarter_2
SAMEA2335956	half_2	quarter_3
SAMEA2335981	half_2	quarter_4
SAMEA2521500	half_1	quarter_2
SAMEA2521507	half_1	quarter_2
SAMEA2521508	half_1	quarter_2
SAMEA2521547	half_1	quarter_2
SAMEA2521585	half_1	quarter_1
SAMEA2521595	half_2	quarter_4
SAMEA2521639	half_2	quarter_3
SAMEA2521653	half_1	quarter_1
SAMEA2521745	half_1	quarter_1
SAMEA2521754	half_2	quarter_3
SAMEA2521775	half_2	quarter_3
SAMEA2521797	half_1	quarter_2
SAMEA2796718	half_1	quarter_1
SAMEA3714063	half_2	quarter_4
SAMEA3952713	half_1	quarter_1
SAMEA3952779	half_2	quarter_3
SAMEA3952792	half_1	quarter_1
SAMEA3952857	half_2	quarter_3
SAMEA3952875	half_2	quarter_3
SAMEA3952886	half_1	quarter_1
SAMEA3952887	half_1	quarter_2
SAMEA3952905	half_2	quarter_4
SAMEA3952908	half_1	quarter_1
SAMEA3952941	half_2	quarter_4
SAMEA3952948	half_2	quarter_3
SAMEA3952954	half_2	quarter_4
SAMEA3952960	half_1	quarter_2
SAMEA3952972	half_1	quarter_1
SAMEA3952990	half_1	quarter_2
SAMEA3953010	half_2	quarter_4
SAMEA3953039	half_1	quarter_1
SAMEA3953061	half_1	quarter_1
SAMEA3953096	half_1	quarter_1
SAMEA3953194	half_1	quarter_1
SAMEA3953225	half_2	quarter_3
SAMEA3953226	half_1	quarter_2
SAMEA3953257	half_1	quarter_1
SAMEA3953262	half_2	quarter_3
SAMEA3953274	half_1	quarter_1
SAMEA3953277	half_2	quarter_3
SAMEA3953291	half_2	quarter_4
SAMEA3953294	half_1	quarter_1
SAMEA3953306	half_1	quarter_2
SAMEA3953312	half_2	quarter_4
SAMEA3953324	half_2	quarter_3
SAMEA3953364	half_1	quarter_2
SAMEA3953372	half_1	quarter_2
SAMEA3953376	half_1	quarter_1
SAMEA3953394	half_1	quarter_1
SAMEA3953407	half_2	quarter_4
SAMEA3953449	half_2	quarter_3
SAMEA3953451	half_2	quarter_3
SAMEA3953476	half_2	quarter_4
SAMEA3953481	half_2	quarter_4
SAMEA3953496	half_2	quarter_4
SAMEA4034882	half_1	quarter_2
SAMEA4036483	half_2	quarter_4
SAMEA5187742	half_1	quarter_2
SAMN02737986	half_2	quarter_4
SAMN03764997	half_2	quarter_4
SAMN03764998	half_1	quarter_2
SAMN03765000	half_2	quarter_4
SAMN03765001	half_1	quarter_1
SAMN03765002	half_1	quarter_2
SAMN03765003	half_1	quarter_2
SAMN05220974	half_1	quarter_2
SAMN05220986	half_1	quarter_2
SAMN05221084	half_2	quarter_4
SAMN05221198	half_2	quarter_3
SAMN05221223	half_1	quarter_2
SAMN05221322	half_2	quarter_3
SAMN05221941	half_2	quarter_3
SAMN05221960	half_2	quarter_3
SAMN05221965	half_1	quarter_1
SAMN05221982	half_1	quarter_2
SAMN05222280	half_1	quarter_1
SAMN05222510	half_1	quarter_2
SAMN05222514	half_2	quarter_4
SAMN05222525	half_2	quarter_4
SAMN05222687	half_2	quarter_4
SAMN05222906	half_2	quarter_4
SAMN05222911	half_1	quarter_1
SAMN05222912	half_2	quarter_4
SAMN05222974	half_2	quarter_3
SAMN05222988	half_2	quarter_4
SAMN05223097	half_2	quarter_3
SAMN05223157	half_1	quarter_2
SAMN08647264	half_1	quarter_2
SAMN08647331	half_1	quarter_1
SAMN08647335	half_1	quarter_1
SAMN08647447	half_2	quarter_4
SAMN08647448	half_2	quarter_3
SAMN08647463	half_2	quarter_4
SAMN08647489	half_1	quarter_1
SAMN08647674	half_2	quarter_3
SAMN08647696	half_2	quarter_3
SAMN08647707	half_1	quarter_2
SAMN08647731	half_2	quarter_3
SAMN08647762	half_1	quarter_2
SAMN08647896	half_1	quarter_1
SAMN08647906	half_1	quarter_1
SAMN08647931	half_1	quarter_1
SAMN08647940	half_2	quarter_3
SAMN08647946	half_2	quarter_4
SAMN09214287	half_1	quarter_2
SAMN09214295	half_2	quarter_3
SAMN09214309	half_2	quarter_3
SAMN09218644	half_1	quarter_2
SAMN09218667	half_2	quarter_4
SAMN09218699	half_1	quarter_2
SAMN09218807	half_1	quarter_2
SAMN09218961	half_1	quarter_1
SAMN09219022	half_1	quarter_1
SAMN09219066	half_1	quarter_2
SAMN09219084	half_2	quarter_4
SAMN09219300	half_1	quarter_1
SAMN09223987	half_2	quarter_4
SAMN09224034	half_1	quarter_1
SAMN09224079	half_2	quarter_4
SAMN09224130	half_1	quarter_1
SAMN09224386	half_1	quarter_1
SAMN09224442	half_1	quarter_1
SAMN09224591	half_1	quarter_2
SAMN09224613	half_2	quarter_4
SAMN09224631	half_1	quarter_1
SAMN09224774	half_2	quarter_4
SAMN09224829	half_2	quarter_3
SAMN09230875	half_2	quarter_4
SAMN09230926	half_2	quarter_4
SAMN09231067	half_1	quarter_1
SAMN09231155	half_1	quarter_1
SAMN09231438	half_2	quarter_4
SAMN11116618	half_2	quarter_3
SAMN11116664	half_2	quarter_3
SAMN11116801	half_2	quarter_3
SAMN11116911	half_2	quarter_4
SAMN11116956	half_2	quarter_4
SAMN11116965	half_2	quarter_3
SAMN11116999	half_2	quarter_3
SAMN11117319	half_2	quarter_3
SAMN11117327	half_1	quarter_2
SAMN11117431	half_1	quarter_2
SAMN11120838	half_1	quarter_2
SAMN11121365	half_2	quarter_3
SAMN11121426	half_2	quarter_3
SAMN11121615	half_1	quarter_1
SAMN11121746	half_1	quarter_1
SAMN11121774	half_2	quarter_4
SAMN11121806	half_1	quarter_1
SAMN11121833	half_2	quarter_3
SAMN11122416	half_1	quarter_1
SAMN11122488	half_1	quarter_1
SAMN11122498	half_1	quarter_2
SAMN11122887	half_1	quarter_2
SAMN11122900	half_1	quarter_1
SAMN11122979	half_1	quarter_2
SAMN11123027	half_2	quarter_4
SAMN14150419	half_1	quarter_1
SAMN14150538	half_2	quarter_4
SAMN14150632	half_2	quarter_3
SAMN14150765	half_1	quarter_1
SAMN14150773	half_1	quarter_2
SAMN14151071	half_2	quarter_3
SAMN14151145	half_2	quarter_3
SAMN14151279	half_1	quarter_2
SAMN14151306	half_1	quarter_1
SAMN14157782	half_1	quarter_1
SAMN14157871	half_1	quarter_1
SAMN14158455	half_1	quarter_2
SAMN14158528	half_2	quarter_3
SAMN14168585	half_1	quarter_2
SAMN14168620	half_2	quarter_4
SAMN14168664	half_2	quarter_3
SAMN14168670	half_2	quarter_3
SAMN14168759	half_2	quarter_4
SAMN14168866	half_2	quarter_3
SAMN14169122	half_2	quarter_3
SAMN14169315	half_2	quarter_4
SAMN20331795	half_2	quarter_4
SAMN20331819	half_1	quarter_1
SAMN20331879	half_1	quarter_1
SAMN20331884	half_1	quarter_1
SAMN20331888	half_1	quarter_2
SAMN20331951	half_1	quarter_1
SAMN20332466	half_1	quarter_2
SAMN20332628	half_2	quarter_3
SAMN20332642	half_1	quarter_2
SAMN20397629	half_1	quarter_2
SAMN20397644	half_2	quarter_3
SAMN20397712	half_1	quarter_1
SAMN20397728	half_2	quarter_3
SAMN20397891	half_1	quarter_2
SAMN20408388	half_2	quarter_3
SAMN20408704	half_2	quarter_3
SAMN20408710	half_1	quarter_2
SAMN20408758	half_1	quarter_1
SAMN20408792	half_1	quarter_2
SAMN20408847	half_2	quarter_3
SAMN20408984	half_2	quarter_3
SAMN20408988	half_1	quarter_2
SAMN20409130	half_2	quarter_4
SAMN20409196	half_2	quarter_3
SAMN20409297	half_1	quarter_2
SAMN20409314	half_2	quarter_3
SAMN26502576	half_1	quarter_1
SAMN27738020	half_2	quarter_3
SAMN27738021	half_1	quarter_1
SAMN27738046	half_2	quarter_3
SAMN27738056	half_1	quarter_2
SAMN27738071	half_2	quarter_3
SAMN27738080	half_2	quarter_3
SAMN27738084	half_1	quarter_1
SAMN27738125	half_2	quarter_3
SAMN27738126	half_1	quarter_1
SAMN27738127	half_1	quarter_2
SAMN27738129	half_2	quarter_4
SAMN27738133	half_2	quarter_4
SAMN27738169	half_1	quarter_2
SAMN27738192	half_1	quarter_2
SAMN27738196	half_2	quarter_3
SAMN33606363	half_2	quarter_3
SAMN33606731	half_2	quarter_4
SAMN33606902	half_1	quarter_1
SAMN33825249	half_1	quarter_2
SAMN38909851	half_2	quarter_4
SAMN41750559	half_1	quarter_1
SAMN41750596	half_1	quarter_2
SAMN41750641	half_2	quarter_4
SAMN41750649	half_1	quarter_2
SAMN41750692	half_2	quarter_4
SAMN41750774	half_1	quarter_1
SAMN41750886	half_2	quarter_4
SAMN41750963	half_1	quarter_2
SAMN41750984	half_2	quarter_3
SAMN41751337	half_2	quarter_3
SAMN41751362	half_1	quarter_1
SAMN41751497	half_2	quarter_3
SAMN41759755	half_2	quarter_4
SAMN41759826	half_2	quarter_3
SAMN41760441	half_2	quarter_3
SAMN41760458	half_2	quarter_3
SAMN41760880	half_1	quarter_1
SAMN41760899	half_1	quarter_2
SAMN41760946	half_2	quarter_4
SAMN41761312	half_2	quarter_4
SAMN41761354	half_2	quarter_3
SAMN41761424	half_2	quarter_3
SAMN41761431	half_1	quarter_1
SAMN41761457	half_1	quarter_1
SAMN41761463	half_1	quarter_1
SAMN41761480	half_2	quarter_4
SAMN41761491	half_2	quarter_4
SAMN41761544	half_1	quarter_2
SAMN41761584	half_1	quarter_2
SAMN41762010	half_1	quarter_1
SAMN41762013	half_2	quarter_4
SAMN41762040	half_1	quarter_1
SAMN41762093	half_1	quarter_2
SAMN41762346	half_1	quarter_1
SAMN41762376	half_1	quarter_1
SAMN41762415	half_1	quarter_2
SAMN41762428	half_2	quarter_4
SAMN41762440	half_2	quarter_3
SAMN41762494	half_2	quarter_3
SAMN41762572	half_1	quarter_1
SAMN41762793	half_1	quarter_1
SAMN41764975	half_2	quarter_4
SAMN41764992	half_1	quarter_1
SAMN41765018	half_2	quarter_3
SAMN41765033	half_2	quarter_4
SAMN41765049	half_1	quarter_2
SAMN41765102	half_2	quarter_3
SAMN41765108	half_1	quarter_1
SAMN41765220	half_2	quarter_3
SAMN41765221	half_1	quarter_2
SAMN41765245	half_2	quarter_3
SAMN41765246	half_2	quarter_3
SAMN41765281	half_2	quarter_4
SAMN41765451	half_2	quarter_3
SAMN41765515	half_2	quarter_4
SAMN41765521	half_1	quarter_2
SAMN41765857	half_2	quarter_4
SAMN41768338	half_2	quarter_4
SAMN41768417	half_2	quarter_4
SAMN41768534	half_1	quarter_1
SAMN41768548	half_2	quarter_4
SAMN41768576	half_2	quarter_4
SAMN41790685	half_2	quarter_3
SAMN41790687	half_1	quarter_2
SAMN41790905	half_2	quarter_4
SAMN42206643	half_1	quarter_2
SAMN42206700	half_2	quarter_3
SAMN42206745	half_1	quarter_2
SAMN42206768	half_2	quarter_4
